GeneID	acetaminophen	caffeine	chloramphenicol	chlorpheniramine	diclofenac	hydroxyzine	isoniazid	nimesulide	theophylline	valproic_acid	Symbol	description	type_of_gene	reactome	kegg	biocarta	msigdb	omnipath	pathcom	DEG	GOBP	GOMF	GOCC	sum	MostDILI	NoDILI	isdisease	pubtator	generifs
1	0	1	0	0	0	0	0	1	1	0	A1BG	alpha-1-B glycoprotein	protein-coding	1	0	0	1	0	1	1	1	0	1	4	1	2	1	0	1
10	0	0	0	0	0	0	0	1	1	1	NAT2	N-acetyltransferase 2	protein-coding	1	1	0	1	0	1	1	1	1	1	6	2	1	1	0	1
100	0	0	0	0	0	0	0	0	0	0	ADA	adenosine deaminase	protein-coding	1	1	0	1	1	1	0	1	1	1	7	0	0	1	0	1
1000	0	1	0	0	0	0	0	0	0	0	CDH2	cadherin 2	protein-coding	1	1	0	1	1	1	1	1	1	1	7	0	1	1	0	1
10000	0	0	0	0	0	0	0	0	0	0	AKT3	AKT serine/threonine kinase 3	protein-coding	1	1	0	1	1	1	0	1	1	1	7	0	0	1	0	1
100009676	0	0	0	0	0	0	0	0	0	0	ZBTB11-AS1	ZBTB11 antisense RNA 1	ncRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10001	0	0	0	0	0	0	0	1	0	0	MED6	mediator complex subunit 6	protein-coding	1	0	0	1	1	1	1	1	1	1	6	1	0	0	0	0
10002	0	0	0	0	0	0	0	0	0	0	NR2E3	nuclear receptor subfamily 2 group E member 3	protein-coding	1	0	0	1	1	1	0	1	1	1	6	0	0	1	0	1
10003	0	0	0	0	0	0	0	0	0	0	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	protein-coding	1	0	0	0	0	1	0	1	1	1	4	0	0	1	0	1
10004	0	0	0	0	0	0	0	0	0	0	NAALADL1	N-acetylated alpha-linked acidic dipeptidase like 1	protein-coding	0	0	0	0	0	0	0	1	1	1	3	0	0	1	0	1
100048912	0	0	0	0	0	0	0	0	0	0	CDKN2B-AS1	CDKN2B antisense RNA 1	ncRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
10005	0	0	0	0	0	0	0	0	0	0	ACOT8	acyl-CoA thioesterase 8	protein-coding	1	1	0	1	1	1	0	1	1	1	7	0	0	1	0	1
10006	0	0	0	0	0	0	0	0	0	0	ABI1	abl interactor 1	protein-coding	1	0	0	1	1	1	0	1	1	1	6	0	0	1	0	1
10007	0	1	0	0	0	1	1	1	1	0	GNPDA1	glucosamine-6-phosphate deaminase 1	protein-coding	1	1	0	1	0	1	1	1	1	1	6	2	3	1	0	1
10008	0	0	0	0	0	0	0	0	0	0	KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3	protein-coding	1	0	0	0	1	1	0	1	1	1	5	0	0	1	0	1
10009	0	0	0	0	0	0	0	0	0	0	ZBTB33	zinc finger and BTB domain containing 33	protein-coding	0	0	0	1	1	1	0	1	1	1	5	0	0	1	0	1
100093630	0	1	0	0	1	1	0	0	1	0	SNHG8	small nucleolar RNA host gene 8	ncRNA	0	0	0	0	0	0	1	0	0	0	0	1	3	0	1	0
100093698	0	0	0	0	0	0	0	0	0	0	GS1-600G8.3	unknown transcript	ncRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1001	0	0	0	0	0	0	0	0	0	0	CDH3	cadherin 3	protein-coding	1	1	0	1	1	1	0	1	1	1	7	0	0	1	0	1
10010	0	0	0	0	0	0	0	0	0	0	TANK	TRAF family member associated NFKB activator	protein-coding	1	1	1	1	1	1	0	1	1	1	8	0	0	1	0	1
100101467	0	0	0	0	0	0	0	0	0	0	ZSCAN30	zinc finger and SCAN domain containing 30	protein-coding	0	0	0	0	0	0	0	1	1	1	3	0	0	0	0	0
100101938	0	0	0	0	0	0	0	0	0	0	ANKRD26P3	ankyrin repeat domain 26 pseudogene 3	pseudo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10011	0	0	0	0	0	0	0	0	0	0	SRA1	steroid receptor RNA activator 1	protein-coding	0	0	1	1	1	1	0	1	1	1	6	0	0	1	0	1
100113407	0	1	0	0	0	0	1	0	1	1	TMEM170B	transmembrane protein 170B	protein-coding	0	0	0	0	0	0	1	0	0	1	1	2	2	0	0	0
100124700	0	0	0	0	0	0	0	0	0	0	HOTAIR	HOX transcript antisense RNA	ncRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
100125288	0	0	0	0	0	0	0	0	0	0	ZGLP1	zinc finger, GATA-like protein 1	protein-coding	0	0	0	0	0	0	0	1	1	1	3	0	0	1	0	1
100126784	0	0	0	0	0	0	1	0	0	0	LOC100126784	uncharacterized LOC100126784	ncRNA	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
100126791	1	0	0	0	1	0	1	0	0	0	EGOT	eosinophil granule ontogeny transcript (non-protein coding)	ncRNA	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	1
100126793	0	0	0	0	0	0	0	0	0	0	GHRLOS	ghrelin opposite strand/antisense RNA	ncRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
100127888	0	0	0	0	0	0	0	0	0	0	SLCO4A1-AS1	SLCO4A1 antisense RNA 1	ncRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100127983	0	0	0	0	0	0	0	0	0	0	C8orf88	chromosome 8 open reading frame 88	protein-coding	0	0	0	0	0	0	0	1	1	1	3	0	0	0	0	1
100128025	0	0	0	0	0	0	0	0	0	0	WWTR1-AS1	WWTR1 antisense RNA 1	ncRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100128071	0	0	0	0	0	0	0	0	0	0	FAM229A	family with sequence similarity 229 member A	protein-coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
